;pais_destino;ano;quantidade_l;valor_uss
280;Canadá;2010;0;0
281;Catar;2010;0;0
282;Cayman, Ilhas;2010;0;0
283;Chile;2010;0;0
284;China;2010;795;2358
285;Chipre;2010;0;0
286;Cingapura;2010;1533;5504
287;Cocos (Keeling), Ilhas;2010;0;0
288;Colômbia;2010;0;0
289;Comores;2010;0;0
290;Congo;2010;0;0
291;Coreia, Republica Sul;2010;0;0
292;Costa do Marfim;2010;0;0
293;Costa Rica;2010;0;0
294;Croácia;2010;0;0
295;Cuba;2010;0;0
296;Curaçao;2010;0;0
297;Dinamarca;2010;7034;69161
298;Dominica;2010;0;0
299;El Salvador;2010;0;0
300;Emirados Arabes Unidos;2010;1035;3206
301;Equador;2010;0;0
302;Eslovaca, Republica;2010;0;0
303;Espanha;2010;0;0
304;Estados Unidos;2010;228968;478630
305;Estônia;2010;15848;40778
306;Filipinas;2010;0;0
307;Finlândia;2010;0;0
308;França;2010;3614;18904
309;Gana;2010;0;0
310;Gibraltar;2010;0;0
311;Granada;2010;0;0
312;Grécia;2010;0;0
313;Guatemala;2010;0;0
314;Guiana;2010;783;3654
315;Guiana Francesa;2010;0;0
316;Guine Bissau;2010;0;0
317;Guine Equatorial;2010;410;1015
318;Haiti;2010;2700;3750
319;Honduras;2010;0;0
320;Hong Kong;2010;0;0
321;Hungria;2010;540;4103
322;Ilha de Man;2010;0;0
323;Ilhas Virgens;2010;0;0
324;India;2010;0;0
325;Indonésia;2010;0;0
326;Irã;2010;0;0
327;Iraque;2010;0;0
328;Irlanda;2010;3969;42795
329;Itália;2010;1458;4828
330;Jamaica;2010;0;0
331;Japão;2010;112178;74628
332;Jordânia;2010;0;0
333;Letônia;2010;0;0
334;Líbano;2010;0;0
335;Libéria;2010;0;0
336;Luxemburgo;2010;7344;32549
337;Malásia;2010;0;0
338;Malta;2010;0;0
339;Marshall, Ilhas;2010;0;0
340;Mauritânia;2010;0;0
341;México;2010;0;0
342;Moçambique;2010;0;0
343;Montenegro;2010;0;0
344;Namibia;2010;0;0
345;Nicaragua;2010;0;0
346;Nigéria;2010;0;0
347;Noruega;2010;0;0
348;Nova Caledônia;2010;0;0
349;Nova Zelândia;2010;0;0
350;Omã;2010;0;0
351;Países Baixos;2010;87368;302182
352;Panamá;2010;0;0
353;Paraguai;2010;510989;449197
354;Peru;2010;0;0
355;Polônia;2010;20464;95198
356;Porto Rico;2010;0;0
357;Portugal;2010;4577;18970
358;Quênia;2010;0;0
359;Reino Unido;2010;123624;295690
360;República Dominicana;2010;0;0
361;Rússia;2010;0;0
362;São Tomé e Príncipe;2010;0;0
363;São Vicente e Granadinas;2010;0;0
364;Senegal;2010;0;0
365;Serra Leoa;2010;0;0
366;Singapura;2010;0;0
367;Suazilândia;2010;0;0
368;Suécia;2010;0;0
369;Suíça;2010;2025;21600
370;Suriname;2010;1836;1269
371;Tailândia;2010;0;0
372;Taiwan (FORMOSA);2010;0;0
373;Tanzânia;2010;0;0
374;Tcheca, República;2010;1091;5285
375;Togo;2010;0;0
376;Trinidade Tobago;2010;0;0
377;Tunísia;2010;0;0
378;Turquia;2010;0;0
379;Tuvalu;2010;0;0
380;Uruguai;2010;914;2929
381;Vanuatu;2010;0;0
382;Venezuela;2010;0;0
383;Vietnã;2010;8820;9977
384;Afeganistão;2011;0;0
385;África do Sul;2011;0;0
386;Alemanha, República Democrática;2011;36070;144150
387;Angola;2011;13889;69001
388;Anguilla;2011;0;0
389;Antígua e Barbuda;2011;0;0
390;Antilhas Holandesas;2011;7335;10188
391;Argentina;2011;13253;55460
392;Aruba;2011;900;1680
393;Austrália;2011;3632;40704
394;Áustria;2011;0;0
395;Bahamas;2011;4529;28810
396;Bangladesh;2011;0;0
397;Barbados;2011;0;0
398;Barein;2011;0;0
399;Bélgica;2011;11802;62339
400;Belice;2011;0;0
401;Benin;2011;0;0
402;Bolívia;2011;12775;20215
403;Bósnia-Herzegovina;2011;0;0
404;Brasil;2011;0;0
405;Bulgária;2011;0;0
406;Cabo Verde;2011;600;825
407;Camarões;2011;0;0
408;Canadá;2011;28906;128076
409;Catar;2011;0;0
410;Cayman, Ilhas;2011;0;0
411;Chile;2011;0;0
412;China;2011;54156;334867
413;Chipre;2011;0;0
414;Cingapura;2011;911;3317
415;Cocos (Keeling), Ilhas;2011;0;0
416;Colômbia;2011;0;0
417;Comores;2011;0;0
418;Congo;2011;360;570
419;Coreia, Republica Sul;2011;0;0
420;Costa do Marfim;2011;0;0
421;Costa Rica;2011;0;0
422;Croácia;2011;0;0
423;Cuba;2011;2880;4899
424;Curaçao;2011;0;0
425;Dinamarca;2011;32797;83057
426;Dominica;2011;0;0
427;El Salvador;2011;0;0
428;Emirados Arabes Unidos;2011;2120;6594
429;Equador;2011;0;0
430;Eslovaca, Republica;2011;0;0
431;Espanha;2011;5206;24618
432;Estados Unidos;2011;306787;1030254
433;Estônia;2011;450;5336
434;Filipinas;2011;0;0
435;Finlândia;2011;12404;50394
436;França;2011;0;0
437;Gana;2011;0;0
438;Gibraltar;2011;0;0
439;Granada;2011;0;0
440;Grécia;2011;0;0
441;Guatemala;2011;0;0
442;Guiana;2011;0;0
443;Guiana Francesa;2011;0;0
444;Guine Bissau;2011;0;0
445;Guine Equatorial;2011;956;1979
446;Haiti;2011;0;0
447;Honduras;2011;0;0
448;Hong Kong;2011;2063;7975
449;Hungria;2011;0;0
450;Ilha de Man;2011;0;0
451;Ilhas Virgens;2011;0;0
452;India;2011;0;0
453;Indonésia;2011;0;0
454;Irã;2011;0;0
455;Iraque;2011;0;0
456;Irlanda;2011;5376;35690
457;Itália;2011;11999;80298
458;Jamaica;2011;0;0
459;Japão;2011;100835;144662
460;Jordânia;2011;0;0
461;Letônia;2011;0;0
462;Líbano;2011;0;0
463;Libéria;2011;0;0
464;Luxemburgo;2011;9547;65592
465;Malásia;2011;0;0
466;Malta;2011;0;0
467;Marshall, Ilhas;2011;0;0
468;Mauritânia;2011;0;0
469;México;2011;1350;7200
470;Moçambique;2011;0;0
471;Montenegro;2011;0;0
472;Namibia;2011;0;0
473;Nicaragua;2011;0;0
474;Nigéria;2011;54;210
475;Noruega;2011;10268;78688
476;Nova Caledônia;2011;0;0
477;Nova Zelândia;2011;2587;7992
478;Omã;2011;0;0
479;Países Baixos;2011;125414;395356
480;Panamá;2011;0;0
481;Paraguai;2011;240168;276281
482;Peru;2011;0;0
483;Polônia;2011;11732;50684
484;Porto Rico;2011;0;0
485;Portugal;2011;95;1031
486;Quênia;2011;0;0
487;Reino Unido;2011;122629;285642
488;República Dominicana;2011;0;0
489;Rússia;2011;0;0
490;São Tomé e Príncipe;2011;0;0
491;São Vicente e Granadinas;2011;0;0
492;Senegal;2011;0;0
493;Serra Leoa;2011;0;0
494;Singapura;2011;0;0
495;Suazilândia;2011;0;0
496;Suécia;2011;1641;14476
497;Suíça;2011;0;0
498;Suriname;2011;3774;3735
499;Tailândia;2011;0;0
500;Taiwan (FORMOSA);2011;4500;10600
501;Tanzânia;2011;0;0
502;Tcheca, República;2011;6846;37271
503;Togo;2011;0;0
504;Trinidade Tobago;2011;0;0
505;Tunísia;2011;0;0
506;Turquia;2011;0;0
507;Tuvalu;2011;0;0
508;Uruguai;2011;1238;4404
509;Vanuatu;2011;0;0
510;Venezuela;2011;0;0
511;Vietnã;2011;0;0
512;Afeganistão;2012;0;0
513;África do Sul;2012;0;0
514;Alemanha, República Democrática;2012;8189;56342
515;Angola;2012;2833;8861
516;Anguilla;2012;0;0
517;Antígua e Barbuda;2012;0;0
518;Antilhas Holandesas;2012;9247;14081
519;Argentina;2012;0;0
520;Aruba;2012;0;0
521;Austrália;2012;9345;56045
522;Áustria;2012;0;0
523;Bahamas;2012;1374;12087
524;Bangladesh;2012;0;0
525;Barbados;2012;0;0
526;Barein;2012;0;0
527;Bélgica;2012;16132;90718
528;Belice;2012;0;0
529;Benin;2012;0;0
530;Bolívia;2012;11868;16804
531;Bósnia-Herzegovina;2012;0;0
532;Brasil;2012;0;0
533;Bulgária;2012;0;0
534;Cabo Verde;2012;0;0
535;Camarões;2012;0;0
536;Canadá;2012;14304;146035
537;Catar;2012;0;0
538;Cayman, Ilhas;2012;0;0
539;Chile;2012;8550;15438
540;China;2012;87905;642177
541;Chipre;2012;0;0
542;Cingapura;2012;1212;5310
543;Cocos (Keeling), Ilhas;2012;0;0
544;Colômbia;2012;0;0
545;Comores;2012;0;0
546;Congo;2012;0;0
547;Coreia, Republica Sul;2012;0;0
548;Costa do Marfim;2012;0;0
549;Costa Rica;2012;0;0
550;Croácia;2012;0;0
551;Cuba;2012;0;0
552;Curaçao;2012;0;0
553;Dinamarca;2012;4716;23802
554;Dominica;2012;0;0
555;El Salvador;2012;0;0
556;Emirados Arabes Unidos;2012;675;3300
557;Equador;2012;0;0
558;Eslovaca, Republica;2012;0;0
559;Espanha;2012;0;0
560;Estados Unidos;2012;146585;303986
561;Estônia;2012;3321;19384
562;Filipinas;2012;0;0
563;Finlândia;2012;17100;67959
564;França;2012;195604;185791
565;Gana;2012;0;0
566;Gibraltar;2012;0;0
567;Granada;2012;0;0
568;Grécia;2012;0;0
569;Guatemala;2012;0;0
570;Guiana;2012;0;0
571;Guiana Francesa;2012;0;0
572;Guine Bissau;2012;0;0
573;Guine Equatorial;2012;819;2530
574;Haiti;2012;0;0
575;Honduras;2012;0;0
576;Hong Kong;2012;1609;7653
577;Hungria;2012;0;0
578;Ilha de Man;2012;0;0
579;Ilhas Virgens;2012;0;0
580;India;2012;0;0
581;Indonésia;2012;0;0
582;Irã;2012;0;0
583;Iraque;2012;0;0
584;Irlanda;2012;0;0
585;Itália;2012;792;5622
586;Jamaica;2012;0;0
587;Japão;2012;29281;116961
588;Jordânia;2012;0;0
589;Letônia;2012;0;0
590;Líbano;2012;0;0
591;Libéria;2012;0;0
592;Luxemburgo;2012;2444;16547
593;Malásia;2012;0;0
594;Malta;2012;0;0
595;Marshall, Ilhas;2012;0;0
596;Mauritânia;2012;0;0
597;México;2012;0;0
598;Moçambique;2012;0;0
599;Montenegro;2012;0;0
600;Namibia;2012;0;0
601;Nicaragua;2012;0;0
602;Nigéria;2012;6449;10196
603;Noruega;2012;5104;31515
604;Nova Caledônia;2012;0;0
605;Nova Zelândia;2012;2364;8817
606;Omã;2012;0;0
607;Países Baixos;2012;134879;539641
608;Panamá;2012;39;2262
609;Paraguai;2012;354824;428279
610;Peru;2012;0;0
611;Polônia;2012;21663;89158
612;Porto Rico;2012;0;0
613;Portugal;2012;47172;47022
614;Quênia;2012;94;458
615;Reino Unido;2012;82937;334856
616;República Dominicana;2012;0;0
617;Rússia;2012;4528176;2103968
618;São Tomé e Príncipe;2012;0;0
619;São Vicente e Granadinas;2012;0;0
620;Senegal;2012;0;0
621;Serra Leoa;2012;0;0
622;Singapura;2012;0;0
623;Suazilândia;2012;0;0
624;Suécia;2012;2705;17280
625;Suíça;2012;4014;47240
626;Suriname;2012;396;1288
627;Tailândia;2012;0;0
628;Taiwan (FORMOSA);2012;0;0
629;Tanzânia;2012;0;0
630;Tcheca, República;2012;7960;27789
631;Togo;2012;0;0
632;Trinidade Tobago;2012;531;2720
633;Tunísia;2012;0;0
634;Turquia;2012;0;0
635;Tuvalu;2012;0;0
636;Uruguai;2012;1135;3879
637;Vanuatu;2012;0;0
638;Venezuela;2012;1029;7492
639;Vietnã;2012;0;0
640;Afeganistão;2013;0;0
641;África do Sul;2013;0;0
642;Alemanha, República Democrática;2013;61699;265978
643;Angola;2013;1573;9300
644;Anguilla;2013;0;0
645;Antígua e Barbuda;2013;0;0
646;Antilhas Holandesas;2013;11281;19565
647;Argentina;2013;0;0
648;Aruba;2013;0;0
649;Austrália;2013;16707;101715
650;Áustria;2013;0;0
651;Bahamas;2013;581;5145
652;Bangladesh;2013;0;0
653;Barbados;2013;0;0
654;Barein;2013;0;0
655;Bélgica;2013;22461;95893
656;Belice;2013;0;0
657;Benin;2013;0;0
658;Bolívia;2013;19147;25998
659;Bósnia-Herzegovina;2013;0;0
660;Brasil;2013;0;0
661;Bulgária;2013;0;0
662;Cabo Verde;2013;0;0
663;Camarões;2013;0;0
664;Canadá;2013;25329;174643
665;Catar;2013;0;0
