;pais_destino;ano;quantidade_l;valor_uss
307;Libéria;2010;0;0
308;Luxemburgo;2010;7344;32549
309;Malásia;2010;0;0
310;Malta;2010;0;0
311;Marshall, Ilhas;2010;0;0
312;Mauritânia;2010;0;0
313;México;2010;0;0
314;Moçambique;2010;0;0
315;Montenegro;2010;0;0
316;Namibia;2010;0;0
317;Nicaragua;2010;0;0
318;Nigéria;2010;0;0
319;Noruega;2010;0;0
320;Nova Caledônia;2010;0;0
321;Nova Zelândia;2010;0;0
322;Omã;2010;0;0
323;Países Baixos;2010;87368;302182
324;Panamá;2010;0;0
325;Paraguai;2010;510989;449197
326;Peru;2010;0;0
327;Polônia;2010;20464;95198
328;Portugal;2010;4577;18970
329;Quênia;2010;0;0
330;Reino Unido;2010;123624;295690
331;Rússia;2010;0;0
332;São Tomé e Príncipe;2010;0;0
333;São Vicente e Granadinas;2010;0;0
334;Serra Leoa;2010;0;0
335;Singapura;2010;0;0
336;Suazilândia;2010;0;0
337;Suécia;2010;0;0
338;Suíça;2010;2025;21600
339;Suriname;2010;1836;1269
340;Tailândia;2010;0;0
341;Taiwan (FORMOSA);2010;0;0
342;Tcheca, República;2010;1091;5285
343;Togo;2010;0;0
344;Trinidade Tobago;2010;0;0
345;Turquia;2010;0;0
346;Tuvalu;2010;0;0
347;Uruguai;2010;914;2929
348;Vanuatu;2010;0;0
349;Venezuela;2010;0;0
350;Vietnã;2010;8820;9977
351;Afeganistão;2011;0;0
352;África do Sul;2011;0;0
353;Alemanha;2011;36070;144150
354;Angola;2011;13889;69001
355;Antígua e Barbuda;2011;0;0
356;Antilhas Holandesas;2011;7335;10188
357;Argentina;2011;13253;55460
358;Aruba;2011;900;1680
359;Austrália;2011;3632;40704
360;Áustria;2011;0;0
361;Bahamas;2011;4529;28810
362;Bangladesh;2011;0;0
363;Barbados;2011;0;0
364;Barein;2011;0;0
365;Bélgica;2011;11802;62339
366;Belice;2011;0;0
367;Benin;2011;0;0
368;Bolívia;2011;12775;20215
369;Bósnia-Herzegovina;2011;0;0
370;Brasil;2011;0;0
371;Bulgária;2011;0;0
372;Cabo Verde;2011;600;825
373;Camarões;2011;0;0
374;Canadá;2011;28906;128076
375;Catar;2011;0;0
376;Cayman, Ilhas;2011;0;0
377;Chile;2011;0;0
378;China;2011;54156;334867
379;Chipre;2011;0;0
380;Cingapura;2011;911;3317
381;Cocos (Keeling), Ilhas;2011;0;0
382;Colômbia;2011;0;0
383;Comores;2011;0;0
384;Congo;2011;360;570
385;Coreia, Republica Sul;2011;0;0
386;Costa Rica;2011;0;0
387;Croácia;2011;0;0
388;Cuba;2011;2880;4899
389;Curaçao;2011;0;0
390;Dinamarca;2011;32797;83057
391;Dominica;2011;0;0
